name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,versatility,release_clause,talent,dominant_position,traits
H. Robson-Kanu,30,21/5/1989,183,83,Wales,West Bromwich Albion,68,68,875000,18000,ST;RM;RW,Left,1,3,3,8,3,1700000,Ordinary,RES,Selfish
L. De Bock,26,7/11/1992,179,75,Belgium,Leeds United,67,68,775000,18000,LB;LM,Left,1,4,3,6,2,1500000,Ordinary,RES,Dives_Into_Tackles
E. O'Kane,28,10/7/1990,173,69,Republic of Ireland,Leeds United,67,67,675000,18000,CDM;CM,Right,1,4,3,5,2,1300000,Ordinary,RES,Good
G. Stewart,29,17/3/1990,178,73,Scotland,Rangers FC,67,67,750000,18000,ST;RM,Left,1,3,3,4,2,1400000,Ordinary,SUB,Finesse_Shot;Skilled_Dribbling
Pedro Chirivella,22,23/5/1997,178,66,Spain,Liverpool,66,74,925000,18000,CM;CDM,Right,1,3,3,5,2,1900000,Ordinary,RES,Good
D. Del Fabro,24,24/3/1995,189,81,Italy,Juventus,66,71,775000,18000,CB,Right,1,3,2,5,1,1300000,Ordinary,RES,Good
Chumi,20,2/3/1999,186,78,Spain,FC Barcelona,65,82,1100000,18000,CB,Right,1,3,2,5,1,3000000,Ordinary,RES,Good
De la Fuente,20,22/2/1999,179,78,Spain,Real Madrid,65,81,1100000,18000,CB,Right,1,3,2,6,1,3000000,Ordinary,RES,Good
C. Vela,30,1/3/1989,177,77,Mexico,Los Angeles FC,83,83,24500000,17000,RW;LW;CAM,Left,3,2,4,7,3,36800000,Ordinary,RW,Avoids_Using_Weaker_Foot;Beat_Offside_Trap;Selfish;Finesse_Shot;Speed_Dribbler;Crowd_Favourite
Gabriel,25,18/9/1993,187,82,Brazil,SL Benfica,80,82,18000000,17000,CM;CDM,Left,1,5,3,6,2,37400000,Ordinary,RCM,Leadership;Finesse_Shot
Moyá,35,2/4/1984,188,83,Spain,Real Sociedad,80,80,4000000,17000,GK,Right,2,2,1,5,1,8400000,Ordinary,GK,Flair_Passes
Diego López,37,3/11/1981,196,89,Spain,RCD Espanyol,80,80,1500000,17000,GK,Right,3,3,1,5,1,3100000,Ordinary,GK,Giant_Throw-in;Acrobatic_Clearance
Melvin Parrela,31,29/2/1988,188,88,Brazil,CSA - AL,79,79,9500000,17000,CDM,Right,1,3,2,5,1,18100000,Ordinary,RDM,Good
Óliver Torres,24,10/11/1994,175,63,Spain,Sevilla FC,78,83,13500000,17000,CM,Right,3,4,3,8,1,29400000,Ordinary,SUB,Selfish;Leadership;Finesse_Shot;Crowd_Favourite
Joan Jordán,24,6/7/1994,184,74,Spain,Sevilla FC,78,83,13500000,17000,CM;CDM;CAM,Right,1,4,4,5,3,29400000,Ordinary,SUB,Argues_with_Officials
V. Aboubakar,27,22/1/1992,184,82,Cameroon,FC Porto,78,79,12000000,17000,ST,Right,3,3,4,8,1,24900000,Ordinary,SUB,Selfish
J. Pinola,36,24/2/1983,180,79,Argentina,River Plate,78,78,2100000,17000,CB,Left,2,3,2,8,1,2900000,Ordinary,SUB,Inflexible
D. Mbokani,33,22/11/1985,185,73,DR Congo,Royal Antwerp FC,78,78,6500000,17000,ST,Right,2,3,3,4,1,9800000,Ordinary,ST,Speed_Dribbler;Outside_Foot_Shot;Crowd_Favourite
Daniel Carriço,30,4/8/1988,180,80,Portugal,Sevilla FC,78,78,8500000,17000,CB,Right,2,3,2,5,1,17900000,Ordinary,SUB,Power_Free-Kick
S. García,28,14/9/1990,181,80,Uruguay,Godoy Cruz,78,78,10500000,17000,ST,Right,1,4,3,7,1,15200000,Ordinary,ST,Beat_Offside_Trap;Speed_Dribbler
F. Bustos,23,28/4/1996,167,66,Argentina,Independiente,77,84,11000000,17000,RB;RWB;RM,Right,1,3,4,7,3,17600000,Ordinary,RB,Dives_Into_Tackles;Early_Crosser
Paulinho,26,9/11/1992,187,81,Portugal,SC Braga,77,79,11000000,17000,ST,Left,1,4,3,8,1,22800000,Ordinary,SUB,Beat_Offside_Trap;Outside_Foot_Shot
D. Baier,35,18/5/1984,176,78,Germany,FC Augsburg,77,77,2800000,17000,CDM;CM,Right,2,3,3,6,2,4800000,Ordinary,LDM,Injury_Prone;Avoids_Using_Weaker_Foot;Leadership;Finesse_Shot;Giant_Throw-in
K. Huntelaar,35,12/8/1983,186,83,Netherlands,Ajax,77,77,4100000,17000,ST,Right,3,3,2,5,1,5700000,Poacher,SUB,Beat_Offside_Trap
S. De Maio,32,5/3/1987,190,90,France,Udinese,77,77,5500000,17000,CB,Right,2,3,2,6,1,9400000,Strength,SUB,Long_Passer
L. Rodríguez,34,1/1/1985,168,71,Argentina,Club Atlético Colón,77,77,4700000,17000,ST;CAM;CF,Right,1,4,4,7,3,7000000,Ordinary,ST,Argues_with_Officials;Speed_Dribbler;Outside_Foot_Shot;Crowd_Favourite
C. Vargas,30,9/3/1989,185,80,Colombia,Club Atlas,77,77,6000000,17000,GK,Left,1,3,1,5,1,10200000,Ordinary,GK,Good
A. Mac Allister,20,24/12/1998,176,70,Argentina,Boca Juniors,76,86,12500000,17000,CAM;CM;LM,Right,1,3,3,5,3,20000000,Ordinary,SUB,Finesse_Shot
I. Pussetto,23,21/12/1995,180,74,Argentina,Udinese,76,84,11500000,17000,ST;RW;RM,Right,1,4,3,8,3,21900000,Ordinary,LS,Good
Toni Villa,24,7/1/1995,171,63,Spain,Real Valladolid CF,76,82,10500000,17000,LM;CAM,Right,1,4,4,8,2,24200000,Ordinary,LM,Selfish;Finesse_Shot;Crowd_Favourite
M. Jajalo,31,25/5/1988,182,81,Bosnia Herzegovina,Udinese,76,76,6500000,17000,CM;CDM,Right,1,3,3,5,2,11100000,Ordinary,SUB,Argues_with_Officials;Finesse_Shot
N. Viergever,29,3/8/1989,183,77,Netherlands,PSV,76,76,6500000,17000,CB;LB,Left,1,2,2,6,2,9100000,Ordinary,LCB,Inflexible;Injury_Prone;Giant_Throw-in
G. Moreno,33,1/7/1986,192,83,Colombia,Shanghai Greenland Shenhua FC,76,76,4700000,17000,CAM;CM;RW,Left,1,3,4,5,3,7300000,Ordinary,RW,Selfish;Finesse_Shot;Crowd_Favourite
M. Díaz,33,5/2/1986,186,86,Argentina,Boca Juniors,76,76,4200000,17000,GK,Right,1,2,1,5,1,5800000,Ordinary,SUB,Good
Nelsildo Reis,31,29/2/1988,190,88,Brazil,Botafogo,76,76,4900000,17000,GK,Right,1,3,1,5,1,9400000,Ordinary,GK,Giant_Throw-in
A. Nübel,22,30/9/1996,193,86,Germany,FC Schalke 04,75,85,8500000,17000,GK,Right,1,5,1,5,1,16200000,Ordinary,GK,Flair;Swerve_Pass
Ferrán Torres,19,29/2/2000,180,72,Spain,Valencia CF,75,85,10500000,17000,RM,Right,1,4,3,8,1,24200000,Ordinary,SUB,Crowd_Favourite
L. Martínez Quarta,23,10/5/1996,183,78,Argentina,River Plate,75,84,9500000,17000,CB,Right,1,3,3,5,1,15200000,Ordinary,RCB,Good
M. Vlap,22,2/6/1997,191,81,Netherlands,RSC Anderlecht,75,82,9500000,17000,CAM;CM;LW,Right,1,4,3,8,3,16200000,Ordinary,LCM,Good
G. Montiel,22,1/1/1997,175,70,Argentina,River Plate,75,82,8500000,17000,RB;CB,Right,1,3,3,8,2,13600000,Ordinary,RB,Good
D. Barbona,24,22/2/1995,184,81,Argentina,Racing Club,75,81,9000000,17000,RM;LM,Right,1,4,3,8,2,14400000,Ordinary,SUB,Selfish;Early_Crosser
K. Amian,21,8/2/1998,180,78,France,Toulouse Football Club,75,81,8000000,17000,RB;CB,Right,1,3,3,6,2,17600000,Ordinary,RB,Good
E. Cabaco,24,19/4/1995,186,75,Uruguay,Levante UD,75,81,8000000,17000,CB,Right,1,3,2,3,1,18400000,Ordinary,SUB,Injury_Prone
L. Olaza,24,21/7/1994,175,68,Uruguay,RC Celta,75,80,8000000,17000,LB,Left,1,3,3,8,1,17400000,Ordinary,LB,Argues_with_Officials
F. Ricca,24,1/12/1994,178,73,Uruguay,Club Brugge KV,75,80,8000000,17000,LB,Left,1,3,2,8,1,11800000,Ordinary,SUB,Good
Martín,23,10/5/1996,178,69,Spain,Deportivo Alavés,75,80,8000000,17000,RB,Right,1,3,3,8,1,17400000,Ordinary,RB,Good
Fede Vico,24,4/7/1994,167,64,Spain,Granada CF,75,79,8500000,17000,CAM;LM;RM,Left,1,3,4,5,3,19300000,Ordinary,CAM,Injury_Prone;Finesse_Shot;Crowd_Favourite
S. Sturaro,26,9/3/1993,181,80,Italy,Genoa,75,78,8000000,17000,CM,Right,2,3,3,9,1,14200000,Ordinary,SUB,Injury_Prone
L. Menossi,25,11/7/1993,169,70,Argentina,San Lorenzo de Almagro,75,78,7500000,17000,CDM;CM,Right,1,3,3,5,2,11800000,Acrobat,LCM,Leadership;Argues_with_Officials
D. Bessa,26,14/1/1993,178,75,Italy,Hellas Verona,75,77,8000000,17000,CAM;CM,Right,1,4,4,4,2,15000000,Ordinary,LF,Selfish;Crowd_Favourite
J. Ito,26,9/3/1993,176,68,Japan,KRC Genk,75,76,8000000,17000,RW,Right,1,3,4,8,1,12600000,Ordinary,RW,Early_Crosser
A. Romao,35,18/1/1984,180,74,Togo,Stade de Reims,75,75,2100000,17000,CDM,Right,2,3,3,6,1,4200000,Ordinary,RDM,Good
O. Akhmedov,31,25/11/1987,181,76,Uzbekistan,Shanghai SIPG FC,75,75,5500000,17000,CM;CDM,Right,1,3,3,5,2,8800000,Ordinary,SUB,Argues_with_Officials
L. Fernández,28,12/3/1991,178,70,Argentina,Vélez Sarsfield,75,75,7000000,17000,ST;RM;LM,Right,1,4,3,8,3,0,Ordinary,SUB,Injury_Free;Selfish;Argues_with_Officials
Dani Rochelinhas,27,29/2/1992,178,75,Brazil,Chapecoense,75,75,7000000,17000,CAM;CM,Left,1,3,4,7,2,13300000,Ordinary,CAM,Finesse_Shot;Crowd_Favourite
Kaimo Lima,35,29/2/1984,188,77,Brazil,Fluminense,75,75,2000000,17000,CB;CDM;LB,Left,1,3,2,5,3,3800000,Ordinary,RCB,Good
D. McNeil,19,22/11/1999,183,68,England,Burnley,74,85,9500000,17000,LM,Left,1,3,3,9,1,20000000,Ordinary,LM,Argues_with_Officials;Crowd_Favourite
E. Reynoso,23,16/11/1995,176,67,Argentina,Boca Juniors,74,83,8500000,17000,CM;CAM;LM,Left,1,4,4,4,3,13600000,Ordinary,LM,Finesse_Shot;Crowd_Favourite
R. Alvarado,20,7/9/1998,176,70,Mexico,Cruz Azul,74,83,8500000,17000,LM;RM;CAM,Left,1,5,3,5,3,16200000,Ordinary,RM,Crowd_Favourite
Iago,22,23/3/1997,181,68,Brazil,FC Augsburg,74,83,8000000,17000,LB,Left,1,2,3,8,1,15200000,Ordinary,SUB,Good
S. Villa,23,19/5/1996,179,71,Colombia,Boca Juniors,74,82,8500000,17000,RM;RW;LM,Right,1,3,3,8,3,13600000,Speedster,RM,Early_Crosser
Francis,23,11/3/1996,175,78,Spain,Real Betis,74,82,8500000,17000,RM;RWB;RB,Right,1,3,3,5,3,19600000,Ordinary,SUB,Good
Unai López,23,30/10/1995,170,70,Spain,Athletic Club de Bilbao,74,80,7500000,17000,CM;LM;CDM,Right,1,3,3,8,3,17300000,Ordinary,SUB,Good
Iván Alejo,24,10/2/1995,184,76,Spain,Getafe CF,74,78,7500000,17000,RM;LM,Right,1,3,3,5,2,16300000,Ordinary,SUB,Good
F. González,32,6/1/1987,178,78,Argentina,Estudiantes de La Plata,74,74,4500000,17000,ST,Right,1,3,3,7,1,6700000,Ordinary,ST,Good
T. Sippel,31,22/3/1988,183,78,Germany,Borussia Mönchengladbach,74,74,3600000,17000,GK,Right,1,2,1,5,1,6100000,Ordinary,SUB,Giant_Throw-in
A. Bjelland,30,11/7/1988,188,85,Denmark,FC København,74,74,4600000,17000,CB,Left,1,3,2,8,1,5900000,Ordinary,LCB,Power_Free-Kick;Leadership
Montoro,31,25/6/1988,181,72,Spain,Granada CF,74,74,4300000,17000,CDM,Right,1,3,3,5,1,9400000,Ordinary,LDM,Power_Free-Kick;Leadership;Argues_with_Officials
F. Klos,31,2/12/1987,194,93,Germany,DSC Arminia Bielefeld,74,74,5000000,17000,ST,Right,1,4,2,9,1,8000000,Aerial_Threat;Strength,ST,Diver;Avoids_Using_Weaker_Foot;Long_Passer;Giant_Throw-in
I. Nestorovski,29,19/3/1990,182,75,FYR Macedonia,Udinese,74,74,5500000,17000,ST,Left,1,4,3,8,1,9400000,Ordinary,SUB,Good
João Pereira,35,25/2/1984,172,66,Portugal,Trabzonspor,74,74,1600000,17000,RB,Right,2,3,3,8,1,3200000,Ordinary,RB,Inflexible;Avoids_Using_Weaker_Foot
C. Rius,30,27/10/1988,171,72,Argentina,Rosario Central,74,74,5500000,17000,RW;RM;ST,Right,1,3,3,5,3,8300000,Ordinary,RM,Crowd_Favourite
A. Chávez,28,21/3/1991,184,80,Argentina,Club Atlético Huracán,74,74,6000000,17000,ST,Left,1,2,3,8,1,9000000,Ordinary,ST,Argues_with_Officials
L. Gamba,32,24/6/1987,170,70,Argentina,Rosario Central,74,74,4500000,17000,ST,Right,1,3,3,8,1,6700000,Acrobat,SUB,Selfish;Early_Crosser
F. Zampedri,31,14/2/1988,185,83,Argentina,Rosario Central,74,74,5000000,17000,ST,Right,1,3,3,5,1,7500000,Strength,SUB,Good
Óscar,21,28/6/1998,174,68,Spain,CD Leganés,73,84,7000000,17000,CAM;CM,Right,1,3,3,8,2,0,Ordinary,LCM,Argues_with_Officials
R. Yaremchuk,23,27/11/1995,190,79,Ukraine,KAA Gent,73,78,5500000,17000,ST;LW,Right,1,3,3,8,2,8700000,Ordinary,LS,Long_Passer
L. Moore,26,31/1/1993,185,86,England,Reading,73,76,4400000,17000,CB,Right,1,3,2,6,1,8700000,Ordinary,RCB,Inflexible;Avoids_Using_Weaker_Foot
L. Landre,27,5/5/1992,182,75,France,Nîmes Olympique,73,76,4300000,17000,CB,Right,1,3,2,6,1,9000000,Ordinary,SUB,Good
A. Scholz,26,24/10/1992,189,87,Denmark,FC Midtjylland,73,76,4400000,17000,CB,Right,1,3,2,6,1,6100000,Ordinary,LCB,Good
Y. Cardinale,25,27/3/1994,181,84,France,OGC Nice,73,76,3700000,17000,GK,Right,2,3,1,5,1,7600000,Ordinary,SUB,Flair_Passes
B. Lozano,25,23/2/1994,167,65,Uruguay,Santos Laguna,73,76,5000000,17000,LM;RM,Right,1,5,3,8,2,8900000,Ordinary,RM,Speed_Dribbler
Clerc,27,21/2/1992,182,69,Spain,Levante UD,73,74,4000000,17000,LB;LWB,Left,1,2,3,8,2,8600000,Ordinary,SUB,Early_Crosser;Giant_Throw-in;Crowd_Favourite
Bigas,28,15/9/1990,181,78,Spain,SD Eibar,73,74,3900000,17000,CB,Left,1,2,2,6,1,8500000,Ordinary,SUB,Power_Free-Kick
F. Boulaya,26,25/2/1993,179,70,Algeria,FC Metz,73,74,4700000,17000,RW,Right,1,4,5,8,1,9700000,Ordinary,RW,Selfish;Crowd_Favourite
M. Nervo,28,6/1/1991,181,83,Argentina,Club Atlas,73,74,3900000,17000,CB;RB,Right,1,2,2,6,2,0,Ordinary,RCB,Long_Passer
Lekue,26,4/5/1993,180,72,Spain,Athletic Club de Bilbao,73,74,4100000,17000,RB;LW;LB,Right,1,3,3,8,3,8900000,Ordinary,SUB,Good
O. Fink,37,6/6/1982,187,78,Germany,Fortuna Düsseldorf,73,73,1300000,17000,CM;CAM;LM,Right,1,4,2,9,3,2300000,Engine,SUB,Injury_Prone;Giant_Throw-in
T. Matav?,30,13/1/1989,188,81,Slovenia,Vitesse,73,73,3900000,17000,ST,Right,2,4,3,4,1,5800000,Ordinary,LS,Good
Etxeita,31,31/10/1987,186,78,Spain,Getafe CF,73,73,3000000,17000,CB,Right,1,3,2,2,1,6200000,Ordinary,SUB,Injury_Prone;Long_Passer
Raul García,30,30/4/1989,175,72,Spain,Getafe CF,73,73,3200000,17000,LB;CB;LM,Left,1,2,2,5,3,6600000,Ordinary,SUB,Good
P. Ankersen,28,22/9/1990,179,75,Denmark,FC København,73,73,3400000,17000,RB,Right,1,3,3,8,1,4500000,Ordinary,SUB,Argues_with_Officials
G. Lapadula,29,7/2/1990,178,69,Italy,Lecce,73,73,4000000,17000,ST,Left,2,3,3,8,1,0,Ordinary,RS,Argues_with_Officials
Puertas,27,21/2/1992,183,77,Spain,Granada CF,73,73,4200000,17000,LM;RM,Right,1,3,3,5,2,9200000,Ordinary,SUB,Good
Paolito Serra,27,29/2/1992,191,88,Brazil,Botafogo,73,73,3600000,17000,CB,Right,1,3,2,5,1,6900000,Strength,RCB,Diver;Long_Passer
Gus Outomouro,35,29/2/1984,175,73,Brazil,Internacional,73,73,1800000,17000,ST;LM,Right,1,3,3,5,2,3500000,Ordinary,SUB,Beat_Offside_Trap;Outside_Foot_Shot
E. Fernandes,23,15/4/1996,187,77,Switzerland,1. FSV Mainz 05,72,80,4500000,17000,CM;CDM,Right,1,4,3,5,2,8600000,Ordinary,RCM,Good
Sergi Palencia,23,23/3/1996,168,67,Spain,AS Saint-Étienne,72,79,3900000,17000,RB,Right,1,3,3,5,1,8200000,Ordinary,SUB,Inflexible;Injury_Prone
A. Calabresi,23,17/3/1996,186,75,Italy,Bologna,72,79,3900000,17000,CB;RB,Right,1,3,2,8,2,7500000,Ordinary,SUB,Good
E. Kwateng,22,9/4/1997,181,75,France,FC Girondins de Bordeaux,72,79,3900000,17000,RB,Right,1,2,3,5,1,8200000,Ordinary,RES,Dives_Into_Tackles
J. Schouten,22,12/1/1997,185,72,Netherlands,Bologna,72,79,4000000,17000,CDM;CM,Right,1,3,4,6,2,7600000,Ordinary,SUB,Good
M. Suárez,23,24/6/1996,182,80,Uruguay,Montpellier HSC,72,79,3900000,17000,RWB;RB,Right,1,4,2,6,2,8200000,Ordinary,SUB,Good
C. Jean,23,15/7/1995,170,66,France,Toulouse Football Club,72,77,4200000,17000,RM;ST,Right,1,3,3,9,2,8600000,Ordinary,RES,Early_Crosser
G. Fernández,25,13/5/1994,186,80,Uruguay,RC Celta,72,77,4200000,17000,ST,Right,1,3,2,5,1,9100000,Ordinary,SUB,Good
C. Benavente,25,19/5/1994,172,68,Peru,FC Nantes,72,76,4000000,17000,CAM;LM;CF,Left,1,5,4,4,3,8300000,Ordinary,SUB,Selfish;Crowd_Favourite
M. Doumbia,24,15/8/1994,173,68,Mali,Stade de Reims,72,75,3900000,17000,LM;CAM,Right,1,2,3,8,2,8200000,Ordinary,LM,Good
L. Höler,24,10/7/1994,184,83,Germany,SC Freiburg,72,75,4000000,17000,ST;RM,Right,1,3,3,9,2,7500000,Ordinary,SUB,Good
C. Antwi-Adjej,25,7/2/1994,173,72,Germany,SC Paderborn 07,72,75,3900000,17000,LM;CAM;RM,Right,1,3,3,4,3,7300000,Acrobat,LM,Early_Crosser;Long_Shot_Taker
J. Correa,26,23/10/1992,187,85,Argentina,Club Atlas,72,74,3800000,17000,ST,Right,1,4,3,4,1,0,Ordinary,ST,Beat_Offside_Trap
J. Iturbe,26,4/6/1993,169,62,Paraguay,U.N.A.M.,72,73,3700000,17000,RW;RM,Left,2,2,4,5,2,6500000,Ordinary,SUB,Power_Free-Kick;Injury_Free;Selfish;Early_Crosser;Speed_Dribbler
M. Wagué,28,21/2/1991,191,85,Mali,FC Nantes,72,73,3000000,17000,CB,Right,1,3,2,2,1,6300000,Strength,RCB,Good
F. Ben Mustapha,30,1/7/1989,194,82,Tunisia,Al Shabab,72,73,2400000,17000,GK,Right,1,2,1,5,1,4200000,Ordinary,GK,Good
O. Rivero,27,24/1/1992,187,82,Uruguay,Santos Laguna,72,73,3600000,17000,ST,Right,1,3,3,8,1,6400000,Ordinary,SUB,Good
K. Rezaei,27,5/4/1992,185,79,Iran,Club Brugge KV,72,73,3600000,17000,ST,Right,1,4,3,9,1,5400000,Ordinary,SUB,Inflexible;Beat_Offside_Trap
C. Gordon,36,31/12/1982,193,83,Scotland,Celtic,72,72,525000,17000,GK,Left,2,3,1,5,1,945000,Ordinary,SUB,Flair;Giant_Throw-in;Swerve_Pass;Second_Wind
Yu Hanchao,32,25/2/1987,178,65,China PR,Guangzhou Evergrande Taobao FC,72,72,2400000,17000,LM;RM,Left,1,4,3,7,2,3900000,Ordinary,SUB,Early_Crosser
C. Beauvue,31,16/4/1988,174,66,France,RC Celta,72,72,2800000,17000,ST;RW,Right,1,3,3,6,2,5900000,Ordinary,SUB,Early_Crosser;Long_Passer
K. Adénon,33,28/7/1985,180,72,Benin,Al Wehda,72,72,1500000,17000,CB,Right,1,4,2,5,1,2400000,Ordinary,LCB,Long_Passer
Fábio,28,9/7/1990,172,74,Brazil,FC Nantes,72,72,2700000,17000,RB;LB,Right,2,4,3,5,2,5300000,Ordinary,RB,Inflexible;Power_Free-Kick;Early_Crosser
M. Frantz,32,14/10/1986,182,82,Germany,SC Freiburg,72,72,2400000,17000,CM;RM;CDM,Left,2,4,2,6,3,4200000,Ordinary,RDM,Good
R. Krhin,29,21/5/1990,189,81,Slovenia,FC Nantes,72,72,2700000,17000,CDM;CM,Right,1,3,2,3,2,5300000,Ordinary,SUB,Good
N. Höfler,29,9/3/1990,181,79,Germany,SC Freiburg,72,72,2700000,17000,CDM;CM,Right,1,3,2,5,2,4800000,Ordinary,LDM,Injury_Prone
B. Mbeumo,19,7/8/1999,171,75,France,Brentford,71,83,4100000,17000,RW;ST;RM,Left,1,2,4,8,3,8600000,Acrobat,SUB,Crowd_Favourite
J. Marriott,24,9/9/1994,173,71,England,Derby County,71,78,3400000,17000,ST,Right,1,4,2,8,1,7100000,Ordinary,SUB,Good
P. Bauer,26,28/10/1992,192,88,Germany,Preston North End,71,76,2800000,17000,CB,Right,1,3,2,5,1,5500000,Strength,RCB,Leadership
A. Vallci,23,2/7/1995,191,82,Austria,FC Red Bull Salzburg,71,76,2800000,17000,LB;LWB;LM,Left,1,5,2,6,3,4400000,Ordinary,SUB,Good
J. Murphy,24,24/2/1995,179,74,England,Sheffield Wednesday,71,75,3100000,17000,RW;LW;RM,Right,1,3,3,7,3,0,Ordinary,SUB,Injury_Free
Adryan,24,10/8/1994,175,71,Brazil,FC Sion,71,74,3000000,17000,LM;CAM;ST,Right,1,4,4,4,3,4600000,Ordinary,RES,Power_Free-Kick;Beat_Offside_Trap;Selfish;Crowd_Favourite
T. Lees,28,28/11/1990,185,75,England,Sheffield Wednesday,71,72,2300000,17000,CB,Right,1,2,2,5,1,4600000,Ordinary,RCB,Good
T. Barkhuizen,25,4/7/1993,175,70,England,Preston North End,71,72,2800000,17000,RM;LM,Right,1,3,3,8,2,5600000,Speedster,LM,Inflexible;Early_Crosser
William,27,7/12/1991,182,74,Brazil,Al Faisaly,71,72,2800000,17000,ST,Right,1,4,3,4,1,4800000,Ordinary,ST,Good
R. Keogh,32,11/8/1986,188,87,Republic of Ireland,Derby County,71,71,1500000,17000,CB,Right,1,3,2,8,1,2900000,Ordinary,RCB,Diver;Injury_Prone;Avoids_Using_Weaker_Foot;Giant_Throw-in
Felipe,32,15/5/1987,193,90,Brazil,Hannover 96,71,71,1500000,17000,CB,Left,1,3,2,5,1,2400000,Strength,SUB,Power_Free-Kick
S. Malone,28,25/3/1991,189,75,England,Derby County,71,71,2000000,17000,LB,Left,1,3,3,8,1,3900000,Ordinary,LB,Early_Crosser
R. Baca,29,11/9/1989,170,65,Mexico,Cruz Azul,71,71,2300000,17000,CM;CDM,Right,1,3,3,9,2,3900000,Engine,SUB,Good
Luisinho,28,10/3/1991,176,67,Brazil,Al Faisaly,71,71,2400000,17000,LM;RM;CAM,Right,1,2,4,8,3,4000000,Ordinary,CAM,Beat_Offside_Trap
G. Sandoval,23,5/11/1995,170,65,Mexico,Guadalajara,70,79,2700000,17000,LM;RM,Right,1,4,3,5,2,5200000,Ordinary,SUB,Good
M. Cash,21,7/8/1997,179,64,England,Nottingham Forest,70,78,2600000,17000,RM;LM;RB,Right,1,3,3,9,3,5500000,Ordinary,RB,Early_Crosser
Reinildo,25,21/1/1994,180,74,Mozambique,LOSC Lille,70,75,2100000,17000,LB,Left,1,3,3,8,1,4100000,Ordinary,SUB,Good
R. Andrich,24,22/9/1994,189,83,Germany,1. FC Union Berlin,70,74,2300000,17000,CM;CDM,Right,1,3,3,8,2,4300000,Ordinary,SUB,Finesse_Shot;Speed_Dribbler
S. Fletcher,32,26/3/1987,186,76,Scotland,Sheffield Wednesday,70,70,1400000,17000,ST,Left,2,2,3,7,1,2700000,Ordinary,ST,Good
S. Colombi,28,1/7/1991,188,83,Italy,Parma,70,70,1300000,17000,GK,Right,1,2,1,5,1,2400000,Ordinary,SUB,Good
G. Sertic,29,5/8/1989,183,76,France,Olympique de Marseille,70,70,1500000,17000,CDM;CB,Right,2,3,2,5,2,2900000,Ordinary,RES,Good
Flávio Rebeilo,27,29/2/1992,175,69,Brazil,Santos,70,70,1600000,17000,LB,Left,1,3,3,5,1,3000000,Ordinary,SUB,Good
Raphael Paneira,31,29/2/1988,184,78,Brazil,Grêmio,70,70,1600000,17000,RW;CAM,Right,1,4,4,5,2,2800000,Ordinary,SUB,Selfish;Crowd_Favourite
Sevinho Santos,31,29/2/1988,180,75,Brazil,Cruzeiro,70,70,1600000,17000,ST;CF,Right,1,3,3,5,2,3000000,Ordinary,SUB,Good
F. Bradaric,27,11/1/1992,185,77,Croatia,Cagliari,70,70,1800000,17000,CM;CDM,Right,1,3,2,2,2,3100000,Ordinary,SUB,Good
D. Arzani,20,4/1/1999,171,73,Australia,Celtic,69,83,2300000,17000,RM;CAM;LM,Right,1,3,4,7,3,0,Ordinary,RES,Selfish;Crowd_Favourite
J. Onomah,22,27/4/1997,185,83,England,Fulham,69,80,1800000,17000,CM;CAM;LM,Right,1,3,3,5,3,3700000,Ordinary,SUB,Good
N. Eliasson,23,7/12/1995,178,72,Sweden,Bristol City,69,76,1500000,17000,LM;RM,Left,1,3,3,5,2,3100000,Ordinary,SUB,Dives_Into_Tackles;Early_Crosser
J. Minala,22,24/8/1996,184,84,Cameroon,Lazio,69,75,1400000,17000,CM,Right,1,3,3,9,1,2700000,Ordinary,RES,Good
L. Venuti,24,12/4/1995,176,66,Italy,Fiorentina,69,74,1200000,17000,RB;LB,Right,1,4,2,5,2,2200000,Ordinary,RES,Good
K. Dermaku,27,15/1/1992,195,89,Albania,Parma,69,71,1100000,17000,CB,Left,1,3,2,5,1,2100000,Aerial_Threat,SUB,Good
M. Bülter,26,29/3/1993,188,85,Germany,1. FC Union Berlin,69,70,1200000,17000,RM;RB;LW,Right,1,3,3,5,3,0,Ordinary,LW,Early_Crosser;Crowd_Favourite
M. Gazzola,34,3/4/1985,183,77,Italy,Parma,69,69,375000,17000,RB,Right,1,3,3,8,1,675000,Ordinary,SUB,Good
R. Gestede,30,10/10/1988,193,86,Benin,Middlesbrough,69,69,1000000,17000,ST,Right,1,3,3,5,1,1900000,Strength,SUB,Power_Free-Kick;Long_Passer
L. Gregory,30,26/8/1988,188,80,England,Stoke City,69,69,1000000,17000,ST,Right,1,3,3,8,1,1900000,Ordinary,RS,Good
Jaílson,23,7/9/1995,187,74,Brazil,Fenerbahçe SK,68,77,1300000,17000,CDM;CM,Right,1,3,2,5,2,2700000,Ordinary,RDM,Good
A. Halliday,27,18/10/1991,173,67,Scotland,Rangers FC,68,69,900000,17000,LB;CDM;CM,Left,1,3,3,6,3,1700000,Ordinary,SUB,Injury_Prone;Giant_Throw-in
M. Watkins,28,17/10/1990,178,65,Wales,Bristol City,68,68,900000,17000,RM;ST,Right,1,3,3,5,2,1700000,Ordinary,RES,Good
